lambda    f             f_err
  0      -0.000007     0.007703
  1      -11.848778     0.007987
  2      -22.833579     0.010707
  3      -42.385509     0.014335
  4      -58.894760     0.019836
  5      -66.169906     0.019713
  6      -72.651397     0.023475
  7      -78.529143     0.024256
  8      -83.690009     0.025450
  9      -92.276328     0.034748
  10      -98.361450     0.031930
  11      -103.810805     0.038688
  12      -105.626592     0.041767
  13      -106.433218     0.043136
  14      -106.918325     0.044604
  15      -106.911299     0.048568
  16      -106.162558     0.051597
  17      -104.582802     0.058851
  18      -102.447159     0.069332
  19      -100.531648     0.086862
