lambda    f             f_err
  0      -0.033400     0.010990
  1      -3.456927     0.011218
  2      -6.632012     0.011346
  3      -12.402143     0.016711
  4      -17.337950     0.015777
  5      -19.517441     0.018336
  6      -21.496504     0.016644
  7      -23.258942     0.011718
  8      -24.878788     0.018928
  9      -27.576953     0.017951
  10      -29.620223     0.018443
  11      -31.502889     0.020708
  12      -32.166184     0.019763
  13      -33.012620     0.011321
  14      -33.444916     0.016258
  15      -33.275346     0.016946
  16      -32.555303     0.020515
  17      -30.890089     0.021891
  18      -28.588195     0.029403
  19      -26.694117     0.031009
