lambda    f             f_err
  0      -0.572458     0.010401
  1      -1.431270     0.008179
  2      -2.204706     0.008896
  3      -3.608837     0.007329
  4      -4.829943     0.008544
  5      -5.360646     0.010040
  6      -5.846764     0.008676
  7      -6.356211     0.008565
  8      -6.741753     0.009491
  9      -7.426130     0.008516
  10      -8.011502     0.009470
  11      -8.464688     0.010696
  12      -8.696500     0.010725
  13      -9.538067     0.011019
  14      -9.921146     0.013168
  15      -9.785187     0.017949
  16      -9.066549     0.022334
  17      -7.403253     0.033756
  18      -5.231595     0.045334
  19      -3.397746     0.049483
